Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Primary Collection (product.metafields.custom.collection),Personalization type (product.metafields.custom.personalization_type),Product family (product.metafields.custom.product_family),Size Guide (product.metafields.custom.size_guide),Activity (product.metafields.shopify.activity),Age group (product.metafields.shopify.age-group),Care instructions (product.metafields.shopify.care-instructions),Case transparency level (product.metafields.shopify.case-transparency-level),Clothing features (product.metafields.shopify.clothing-features),Color (product.metafields.shopify.color-pattern),Fabric (product.metafields.shopify.fabric),Fit (product.metafields.shopify.fit),Material (product.metafields.shopify.material),Neckline (product.metafields.shopify.neckline),Personalization options (product.metafields.shopify.personalization-options),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Top length type (product.metafields.shopify.top-length-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
t-shirt-talent-of-overthinking-white-manifesto,,,,,,,,,m,,,,,,,,,200.0,shopify,100,deny,manual,300.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
t-shirt-talent-of-overthinking-white-manifesto,,,,,,,,,l,,,,,,,,,200.0,shopify,100,deny,manual,300.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
t-shirt-expert-advice-black-manifesto,EXPERT ADVICE | Black,<p>Premium Kauffman Concept T-shirt with statement artwork. Each item is prepared for gift-ready packaging.</p>,Kauffman Concept,Apparel & Accessories > Clothing > Clothing Tops > T-Shirts,Apparel,Manifesto,true,Size,xs,product.metafields.shopify.size,,,,,,,,200.0,shopify,100,deny,manual,300.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1003/5029/6411/files/EXPERT-ADVICE-T-SHIRT-BLACK_BACK-SIDE.png?v=1786379134,1,,false,T-Shirt - EXPERT ADVICE Black,T-Shirt - EXPERT ADVICE Black from Kauffman Concept.,Manifesto,,T-Shirt,,,,,,,,,,,,,xs; s; m; l,,,,,,,,,kg,,,active
t-shirt-expert-advice-black-manifesto,,,,,,,,,s,,,,,,,,,200.0,shopify,100,deny,manual,300.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1003/5029/6411/files/EXPERT-ADVICE-T-SHIRT-BLACK_FRONT-SIDE.png?v=1786379134,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
t-shirt-expert-advice-black-manifesto,,,,,,,,,m,,,,,,,,,200.0,shopify,100,deny,manual,300.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
t-shirt-expert-advice-black-manifesto,,,,,,,,,l,,,,,,,,,200.0,shopify,100,deny,manual,300.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
t-shirt-energy-saving-mode-white-manifesto,ENERGY SAVING MODE,<p>Premium Kauffman Concept T-shirt with statement artwork. Each item is prepared for gift-ready packaging.</p>,Kauffman Concept,Apparel & Accessories > Clothing > Clothing Tops > T-Shirts,Apparel,Manifesto,true,Size,xs,product.metafields.shopify.size,,,,,,,,200.0,shopify,100,deny,manual,300.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1003/5029/6411/files/ENERGY-SAVING-MODE_-T-SHIRT-MAIN-WHITE_1be19783-eb23-4d59-91aa-2527d062cddf.png?v=1786461289,1,,false,T-Shirt - ENERGY SAVING MODE White,T-Shirt - ENERGY SAVING MODE White from Kauffman Concept.,Manifesto,,T-Shirt,,,,,,,white,,,,,,xs; s; m; l,,,,,,,,,kg,,,active
t-shirt-energy-saving-mode-white-manifesto,,,,,,,,,s,,,,,,,,,200.0,shopify,100,deny,manual,300.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1003/5029/6411/files/ENERGY-SAVING-MODE_-T-SHIRT-SECOND-WHITE_40f25af4-ab56-47e6-87da-bf32f44eb61e.png?v=1786461352,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
t-shirt-energy-saving-mode-white-manifesto,,,,,,,,,m,,,,,,,,,200.0,shopify,100,deny,manual,300.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
t-shirt-energy-saving-mode-white-manifesto,,,,,,,,,l,,,,,,,,,200.0,shopify,100,deny,manual,300.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
t-shirt-no-afters-black-manifesto,NO AFTERS,<p>Premium Kauffman Concept T-shirt with statement artwork. Each item is prepared for gift-ready packaging.</p>,Kauffman Concept,Apparel & Accessories > Clothing > Clothing Tops > T-Shirts,Apparel,Manifesto,true,Size,xs,product.metafields.shopify.size,,,,,,,,200.0,shopify,100,deny,manual,300.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1003/5029/6411/files/NO-AFTERS-T-SHIRT-BLACK_BACK-SIDE.png?v=1786379135,1,,false,T-Shirt - NO AFTERS Black,T-Shirt - NO AFTERS Black from Kauffman Concept.,Manifesto,,T-Shirt,,,,,,,black,,,,,,xs; s; m; l,,,,,,,,,kg,,,active
t-shirt-no-afters-black-manifesto,,,,,,,,,s,,,,,,,,,200.0,shopify,100,deny,manual,300.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1003/5029/6411/files/NO-AFTERS-T-SHIRT-BLACK_FRONT-SIDE.png?v=1786379134,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
t-shirt-no-afters-black-manifesto,,,,,,,,,m,,,,,,,,,200.0,shopify,100,deny,manual,300.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
t-shirt-no-afters-black-manifesto,,,,,,,,,l,,,,,,,,,200.0,shopify,100,deny,manual,300.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
t-shirt-expert-advice-white-manifesto,EXPERT ADVICE,<p>Premium Kauffman Concept T-shirt with statement artwork. Each item is prepared for gift-ready packaging.</p>,Kauffman Concept,Apparel & Accessories > Clothing > Clothing Tops > T-Shirts,Apparel,Manifesto,true,Size,xs,product.metafields.shopify.size,,,,,,,,200.0,shopify,100,deny,manual,300.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1003/5029/6411/files/EXPERT-ADVICE-T-SHIRT-WHITE_BACK-SIDE.png?v=1786379134,1,,false,T-Shirt - EXPERT ADVICE White,T-Shirt - EXPERT ADVICE White from Kauffman Concept.,Manifesto,,T-Shirt,,,,,,,white,,,,,,xs; s; m; l,,,,,,,,,kg,,,active
t-shirt-expert-advice-white-manifesto,,,,,,,,,s,,,,,,,,,200.0,shopify,100,deny,manual,300.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1003/5029/6411/files/EXPERT-ADVICE-T-SHIRT-WHITE_FRONT-SIDE.png?v=1786379135,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
t-shirt-expert-advice-white-manifesto,,,,,,,,,m,,,,,,,,,200.0,shopify,100,deny,manual,300.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
t-shirt-expert-advice-white-manifesto,,,,,,,,,l,,,,,,,,,200.0,shopify,100,deny,manual,300.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
